
assistisse,1
resenha,9
95,5
193,1
previsível,2
índice,11
88,5
Adeus,4
Lênin,2
Lenine,2
Parede,2
Head,2
Esposa,2
Turca,2
Mulher,4
Sophie,3
Scholl,2
Últimos,2
Volver,4
Voltar,2
